RG,SITE_ID,SITE_EPA_ID,SITE_NAME,SITE_STRT_ADRS1,SITE_STRT_ADRS2,SITE_CITY_NAME,SITE_STATE,SITE_ZIP_CODE,SITE_CONG_DISTRICT,SITE_CNTY_NAME,SITE_FIPS_CODE,LATITUDE,LONGITUDE,ALT_AGREEMENT,NPL,FF,NON_NPL_STATUS
4,0406154,AL0000047829,WEST END LANDFILL,HWY 202 AND ADAMS ST,,ANNISTON,AL,36202,03,CALHOUN,01015,,,N,Not on the NPL,N,N
4,0406158,AL0000059147,ETOWAH COUNTY (RIDGEVILLE) LANDFILL,NOBLE HILL ROAD,,RIDGEVILLE,AL,35954,04,ETOWAH,01055,,,N,Not on the NPL,N,N
4,0406176,AL0000132662,FUSSY HILL DRUM DUMP,461 FUSSY HILL ROAD,,NEW MARKET,AL,35761,05,MADISON,01089,,,N,Not on the NPL,N,N
4,0406800,AL0000301747,JONES PROPERTY,595 GRADY STREET,,MONTGOMERY,AL,36108,,MONTGOMERY,01101,,,N,Not on the NPL,N,N
4,0406321,AL0001024793,ILCO SATELLITE SITES,INTERSECTION OF HWY 78 AND HWY 411,,LEEDS,AL,35094,06,JEFFERSON,01073,,,N,Not on the NPL,N,N
4,0406330,AL0001058056,CAPITOL CITY PLUME,Downtown Montgomery,,MONTGOMERY,AL,36104,07,MONTGOMERY,01101,,,N,Removed from Proposed NPL,N,N
4,0406389,AL0001113281,BURLINGTON CARRIERS HYDROFLUORIC ACID,RAMP FROM US HIGHWAY 43,,HAMILTON,AL,35570,04,MARION,01093,,,N,Not on the NPL,N,N
4,0406437,AL0001197409,HANSEL HODGES PROPERTY,17989 HANSEL HODGES RD,,ELBERTA,AL,36530,01,BALDWIN,01003,,,N,Not on the NPL,N,N
4,0406455,AL0001332972,WALKER SPRINGS WOOD TREATER,MT GILLEAU BAPTIST CHURCH RD,,WALKER SPRINGS,AL,36586,01,CLARKE,01025,,,N,Not on the NPL,N,N
4,0406478,AL0001401843,SIMS CHAPEL WOOD TREATER,COUNTY RD 35,,SIMS CHAPEL,AL,36553,01,WASHINGTON,01129,,,N,Not on the NPL,N,N
4,0406546,AL0001411628,BESSEMER ADAMS SITE,1447 BERKLY STREET,,BESSEMER,AL,35020,06,JEFFERSON,01073,,,N,Not on the NPL,N,N
4,0406549,AL0001412063,MONTEVALLO PLUME,SHELBY COUNTY,,MONTEVALLO,AL,35115,07,SHELBY,01117,,,N,Not on the NPL,N,N
